,sentence,score,magnitude
2835,"https://t.co/K2Lfh6k69i
RT @IdaysiCapote: @franciscoxloza @LibertadChile1 @TWITEROSxCUBA @elneciocubano @Aladina001 @yolyhabanera @Rodiles_Haney @habaneroycubano @…",-0.10000000149011612,0.10000000149011612
2836,"Take notes, mainland!",0.10000000149011612,0.10000000149011612
2837,"RT @integralblanca: shut the fuck up https://t.co/K1vLgztgtL
RT @johnpaulpr1: 🙌🇵🇷 https://t.co/IVmznynCWA
@Pornhub #RickyRenuncio
#RickyRenuncio #RickySeFue #puertorico https://t.co/039pIX3F2q
Felicitar  al pueblo de #PuertoRico #RickyRenuncio #RickyTeBotamos #RickySeFue
Boricua que protestó y siempre estuvo en contra del bipartidismo aunque no te conozca quiero decirte #TeAmoBoricua.…",-0.10000000149011612,0.10000000149011612
2838,"https://t.co/3GsGzFdCLr
RT @MrTonitas: https://t.co/FEWVsHaoCb https://t.co/8eL5TdNq6U
RT @AM2DM: .@andreagonram explains why July 25 has been a big day for Puerto Rico for years, even before Governor Ricardo Rosselló's resign…",-0.10000000149011612,0.10000000149011612
2839,"RT @J0rtizzz: #RickyRenunció ♥️🇵🇷 https://t.co/VEp49Qqr5C
Borinquen querida, your passion inspires us today, your solidarity teaches us today, and your resistence reminds us…",0.8999999761581421,0.8999999761581421
2840,"https://t.co/AAMPGYO0z5
RT @AF3IRM: Puerto Rico!!!",0.0,0.0
2841,"#Repost @af3irmhawaii ・・・ O HELL YEAH 🇵🇷✊🏽💜 felicidades to our friends and fam and to our sisters, especially, w…",0.8999999761581421,0.8999999761581421
2842,"RT @NATBK75: All future US Presidential candidates, take note!",0.0,0.0
2843,The next extermination is the White House.,0.0,0.0
2844,#RickySeFue https://t.co/ufiBXqDJ…,0.10000000149011612,0.10000000149011612
2845,*More Lives Getting Touched.* *More winnings recorded.* *More People Being Empowered.* *More success recorded.* *Mo…,0.0,0.0
2846,"https://t.co/zd96wC9bcV
RT @Savageivert1: Swagg it out THY CALL ME DANCE KING😘🔥🤞🤞🔥🔥👑👑wtc #ThursdayMotivation #LPC2019 #SeoulTownRoad #ukhano #hottestdayoftheyear #…",0.800000011920929,0.800000011920929
2847,"Pueden seguir diciendo que la música de #BadBunny es un asco, pero lo que el man acaba de hacer con sus amigos en… https://t.co/O3aw54kK9r
EEESSSSOOOOO EEEHHHHH 💪🏽💪🏽🇵🇷🇵🇷🇵🇷 #RickyRenuncio
Se ponen a “perrear” frente a la catedral y después exigen respeto y con esa misma moral querían que Ricky renuncia…",-0.699999988079071,0.699999988079071
